;Unnamed: 0;season;division;round;localTeam;visitorTeam;localGoals;visitorGoals;date;timestamp
0;26201;2005-06;1;1;Atletico de Bilbao;Real Sociedad;3;0;27/08/2005;1125093600
1;26202;2005-06;1;1;Alaves;Barcelona;0;0;27/08/2005;1125093600
2;26203;2005-06;1;1;Valencia;Betis;1;0;27/08/2005;1125093600
3;26204;2005-06;1;1;Atletico de Madrid;Zaragoza;0;0;28/08/2005;1125180000
4;26205;2005-06;1;1;Cadiz;Real Madrid;1;2;28/08/2005;1125180000
5;26206;2005-06;1;1;Celta de Vigo;Malaga;2;0;28/08/2005;1125180000
6;26207;2005-06;1;1;Espanol;Getafe;0;2;28/08/2005;1125180000
7;26208;2005-06;1;1;Mallorca;Deportivo;0;1;28/08/2005;1125180000
8;26209;2005-06;1;1;Osasuna;Villarreal;2;1;28/08/2005;1125180000
9;26210;2005-06;1;1;Sevilla;Santander;1;0;28/08/2005;1125180000
10;26211;2005-06;1;2;Betis;Osasuna;1;0;10/09/2005;1126303200
11;26212;2005-06;1;2;Deportivo;Atletico de Madrid;1;0;10/09/2005;1126303200
12;26213;2005-06;1;2;Real Madrid;Celta de Vigo;2;3;10/09/2005;1126303200
13;26214;2005-06;1;2;Barcelona;Mallorca;2;0;11/09/2005;1126389600
14;26215;2005-06;1;2;Getafe;Atletico de Bilbao;1;1;11/09/2005;1126389600
15;26216;2005-06;1;2;Malaga;Espanol;1;2;11/09/2005;1126389600
16;26217;2005-06;1;2;Santander;Cadiz;0;1;11/09/2005;1126389600
17;26218;2005-06;1;2;Real Sociedad;Alaves;2;1;11/09/2005;1126389600
18;26219;2005-06;1;2;Villarreal;Sevilla;1;1;11/09/2005;1126389600
19;26220;2005-06;1;2;Zaragoza;Valencia;2;2;11/09/2005;1126389600
20;26221;2005-06;1;3;Mallorca;Real Sociedad;5;2;17/09/2005;1126908000
21;26222;2005-06;1;3;Valencia;Deportivo;2;2;17/09/2005;1126908000
22;26223;2005-06;1;3;Atletico de Bilbao;Malaga;1;2;18/09/2005;1126994400
23;26224;2005-06;1;3;Atletico de Madrid;Barcelona;2;1;18/09/2005;1126994400
24;26225;2005-06;1;3;Betis;Zaragoza;0;0;18/09/2005;1126994400
25;26226;2005-06;1;3;Cadiz;Villarreal;1;1;18/09/2005;1126994400
26;26227;2005-06;1;3;Celta de Vigo;Santander;0;1;18/09/2005;1126994400
27;26228;2005-06;1;3;Alaves;Getafe;3;4;18/09/2005;1126994400
28;26229;2005-06;1;3;Espanol;Real Madrid;1;0;18/09/2005;1126994400
29;26230;2005-06;1;3;Osasuna;Sevilla;1;0;18/09/2005;1126994400
30;26231;2005-06;1;4;Barcelona;Valencia;2;2;21/09/2005;1127253600
31;26232;2005-06;1;4;Deportivo;Betis;1;1;21/09/2005;1127253600
32;26233;2005-06;1;4;Getafe;Mallorca;1;1;21/09/2005;1127253600
33;26234;2005-06;1;4;Malaga;Alaves;0;0;21/09/2005;1127253600
34;26235;2005-06;1;4;Santander;Espanol;1;0;21/09/2005;1127253600
35;26236;2005-06;1;4;Real Sociedad;Atletico de Madrid;3;2;21/09/2005;1127253600
36;26237;2005-06;1;4;Sevilla;Cadiz;0;0;21/09/2005;1127253600
37;26238;2005-06;1;4;Villarreal;Celta de Vigo;1;2;21/09/2005;1127253600
38;26239;2005-06;1;4;Zaragoza;Osasuna;3;1;21/09/2005;1127253600
39;26240;2005-06;1;4;Real Madrid;Atletico de Bilbao;3;1;22/09/2005;1127340000
40;26241;2005-06;1;5;Atletico de Madrid;Getafe;0;1;24/09/2005;1127512800
41;26242;2005-06;1;5;Betis;Barcelona;1;4;24/09/2005;1127512800
42;26243;2005-06;1;5;Espanol;Villarreal;1;2;24/09/2005;1127512800
43;26244;2005-06;1;5;Valencia;Real Sociedad;2;1;24/09/2005;1127512800
44;26245;2005-06;1;5;Zaragoza;Deportivo;1;1;24/09/2005;1127512800
45;26246;2005-06;1;5;Atletico de Bilbao;Santander;0;0;25/09/2005;1127599200
46;26247;2005-06;1;5;Celta de Vigo;Sevilla;2;1;25/09/2005;1127599200
47;26248;2005-06;1;5;Alaves;Real Madrid;0;3;25/09/2005;1127599200
48;26249;2005-06;1;5;Mallorca;Malaga;1;4;25/09/2005;1127599200
49;26250;2005-06;1;5;Osasuna;Cadiz;2;0;25/09/2005;1127599200
50;26251;2005-06;1;6;Barcelona;Zaragoza;2;2;01/10/2005;1128117600
51;26252;2005-06;1;6;Getafe;Valencia;2;1;01/10/2005;1128117600
52;26253;2005-06;1;6;Cadiz;Celta de Vigo;1;1;02/10/2005;1128204000
53;26254;2005-06;1;6;Deportivo;Osasuna;0;1;02/10/2005;1128204000
54;26255;2005-06;1;6;Malaga;Atletico de Madrid;0;2;02/10/2005;1128204000
55;26256;2005-06;1;6;Santander;Alaves;1;2;02/10/2005;1128204000
56;26257;2005-06;1;6;Real Sociedad;Betis;1;1;02/10/2005;1128204000
57;26258;2005-06;1;6;Real Madrid;Mallorca;4;0;02/10/2005;1128204000
58;26259;2005-06;1;6;Sevilla;Espanol;1;1;02/10/2005;1128204000
59;26260;2005-06;1;6;Villarreal;Atletico de Bilbao;3;1;02/10/2005;1128204000
60;26261;2005-06;1;7;Atletico de Madrid;Real Madrid;0;3;15/10/2005;1129327200
61;26262;2005-06;1;7;Alaves;Villarreal;1;1;15/10/2005;1129327200
62;26263;2005-06;1;7;Deportivo;Barcelona;3;3;15/10/2005;1129327200
