id;name;picture_url
1011068;M (Monet St. Croix);http://i.annihil.us/u/prod/marvel/i/mg/b/80/4c0030eabc66f.jpg
1011004;M.O.D.A.M.;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011320;M.O.D.O.G.;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010726;M.O.D.O.K.;http://i.annihil.us/u/prod/marvel/i/mg/0/03/526034ba37851.jpg
1017321;M.O.D.O.K. (Iron Man 3 - The Official Game);http://i.annihil.us/u/prod/marvel/i/mg/c/00/5239c14fcddc0.jpg
1009418;Ma Gnuci;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009314;Mac Gargan;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010851;Mach IV;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010805;Machine Man;http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4c003727804b4.jpg
1009411;Mad Thinker;http://i.annihil.us/u/prod/marvel/i/mg/b/c0/52740faf0d0fb.jpg
1009412;Madame Hydra;http://i.annihil.us/u/prod/marvel/i/mg/c/20/4d5c39a54b1dd.jpg
1010352;Madame Masque;http://i.annihil.us/u/prod/marvel/i/mg/5/00/4ce5a251c1100.jpg
1010796;Madame Web (Julia Carpenter);http://i.annihil.us/u/prod/marvel/i/mg/2/30/4c00373114b4b.jpg
1010724;Maddog;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009509;Madelyne Pryor;http://i.annihil.us/u/prod/marvel/i/mg/c/50/528d33ddaef70.jpg
1011205;Madripoor;http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c7c6221db444.jpg
1009413;Madrox;http://i.annihil.us/u/prod/marvel/i/mg/9/30/52740fc5a4c7c.jpg
1011053;Maelstrom;http://i.annihil.us/u/prod/marvel/i/mg/f/20/4c003114d6700.jpg
1011328;Maestro;http://i.annihil.us/u/prod/marvel/i/mg/4/30/4d278ee344785.jpg
1010867;Magdalene;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009414;Maggott;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010942;Magik (Amanda Sefton);http://i.annihil.us/u/prod/marvel/i/mg/f/b0/4c003414d6535.jpg
1009415;Magik (Illyana Rasputin);http://i.annihil.us/u/prod/marvel/i/mg/6/b0/52695ca8391cc.jpg
1011135;Maginty;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009416;Magma (Amara Aquilla);http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c003d55e4ce8.jpg
1009417;Magneto;http://i.annihil.us/u/prod/marvel/i/mg/3/b0/5261a7e53f827.jpg
1010944;Magneto (Age of Apocalypse);http://i.annihil.us/u/prod/marvel/i/mg/d/70/53176f5026364.jpg
1010945;Magneto (House of M);http://i.annihil.us/u/prod/marvel/i/mg/3/60/53176f6222dd5.jpg
1010943;Magneto (Ultimate);http://i.annihil.us/u/prod/marvel/i/mg/6/60/53176fa65e0e3.jpg
1017477;Magneto (X-Men: Battle of the Atom);http://i.annihil.us/u/prod/marvel/i/mg/c/20/52d72b0f5dcd5.jpg
1010904;Magus (Adam Warlock);http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4c00358c0575c.jpg
1011364;Magus (Technarch);http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011085;Major Mapleleaf;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1010725;Makkari;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009242;Malcolm Colcord;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1013479;Malekith;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1011229;Malice (Earth-161);http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009420;Man-Thing;http://i.annihil.us/u/prod/marvel/i/mg/8/c0/4ce5a043191dc.jpg
1010811;Man-Wolf;http://i.annihil.us/u/prod/marvel/i/mg/6/90/4c7c641e86d14.jpg
1009421;Mandarin;http://i.annihil.us/u/prod/marvel/i/mg/a/50/535feda892f68.jpg
1011243;Mandrill;http://i.annihil.us/u/prod/marvel/i/mg/9/20/4c002efee8164.jpg
1009422;Mandroid;http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
1009423;Manta;http://i.annihil.us/u/prod/marvel/i/mg/f/90/4c003d5308145.jpg
1011026;Mantis;http://i.annihil.us/u/prod/marvel/i/mg/3/20/52740fa12e826.jpg
