,Sexo;Edad;Tasa de riesgo de pobreza con umbral fijo año 2008;Periodo;Total
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;20,1.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;20,5.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;22,8.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;21,8.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;24,9.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;25,5.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;26,5.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;29,2.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;29,9.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;30,9.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;28,1.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;25,9.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;23,7.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;20,6.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;19,7.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;19,8.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;17,2.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;17,
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;19,5.0
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;19,
Ambos sexos;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;21,5.0
