,Nombre,Enlace
0,,https://www.filmaffinity.com/es/film809297.html
1,El padrino,https://www.filmaffinity.com/es/film809297.html
2,Francis Ford Coppola,https://www.filmaffinity.com/es/name.php?name-id=845159519
3,Marlon Brando,https://www.filmaffinity.com/es/name.php?name-id=847880194
4,Al Pacino,https://www.filmaffinity.com/es/name.php?name-id=951364861
5,James Caan,https://www.filmaffinity.com/es/name.php?name-id=528190012
6,Robert Duvall,https://www.filmaffinity.com/es/name.php?name-id=514295914
7,Diane Keaton,https://www.filmaffinity.com/es/name.php?name-id=568095076
8,,https://www.filmaffinity.com/es/film107937.html
9,Planeta Tierra II,https://www.filmaffinity.com/es/film107937.html
10,Elizabeth White,https://www.filmaffinity.com/es/name.php?name-id=476508502
11,Justin Anderson,https://www.filmaffinity.com/es/name.php?name-id=909122069
12,Ed Charles,https://www.filmaffinity.com/es/name.php?name-id=716377747
13,David Attenborough,https://www.filmaffinity.com/es/name.php?name-id=390763760
14,,https://www.filmaffinity.com/es/film730528.html
15,El padrino. Parte II,https://www.filmaffinity.com/es/film730528.html
16,Francis Ford Coppola,https://www.filmaffinity.com/es/name.php?name-id=845159519
17,Al Pacino,https://www.filmaffinity.com/es/name.php?name-id=951364861
18,Robert De Niro,https://www.filmaffinity.com/es/name.php?name-id=627577077
19,Diane Keaton,https://www.filmaffinity.com/es/name.php?name-id=568095076
20,Robert Duvall,https://www.filmaffinity.com/es/name.php?name-id=514295914
21,John Cazale,https://www.filmaffinity.com/es/name.php?name-id=521142961
22,,https://www.filmaffinity.com/es/film399474.html
23,The Wire (Bajo escucha),https://www.filmaffinity.com/es/film399474.html
24,David Simon,https://www.filmaffinity.com/es/name.php?name-id=237180108
25,Joe Chappelle,https://www.filmaffinity.com/es/name.php?name-id=791341213
26,Dominic West,https://www.filmaffinity.com/es/name.php?name-id=957834405
27,Lance Reddick,https://www.filmaffinity.com/es/name.php?name-id=851376245
28,Sonja Sohn,https://www.filmaffinity.com/es/name.php?name-id=498301404
29,Clarke Peters,https://www.filmaffinity.com/es/name.php?name-id=412411560
30,Aidan Gillen,https://www.filmaffinity.com/es/name.php?name-id=486871860
31,,https://www.filmaffinity.com/es/film489970.html
32,Breaking Bad,https://www.filmaffinity.com/es/film489970.html
33,Vince Gilligan,https://www.filmaffinity.com/es/name.php?name-id=459610705
34,Michelle MacLaren,https://www.filmaffinity.com/es/name.php?name-id=848463658
35,Bryan Cranston,https://www.filmaffinity.com/es/name.php?name-id=255063027
36,Aaron Paul,https://www.filmaffinity.com/es/name.php?name-id=341369862
37,Anna Gunn,https://www.filmaffinity.com/es/name.php?name-id=313717763
38,Dean Norris,https://www.filmaffinity.com/es/name.php?name-id=360299318
39,Betsy Brandt,https://www.filmaffinity.com/es/name.php?name-id=606286206
40,,https://www.filmaffinity.com/es/film601451.html
41,Cosmos,https://www.filmaffinity.com/es/film601451.html
42,Carl Sagan,https://www.filmaffinity.com/es/name.php?name-id=970498708
43,David F. Oyster,https://www.filmaffinity.com/es/name.php?name-id=692371906
44,Adrian Malone,https://www.filmaffinity.com/es/name.php?name-id=771217020
45,Carl Sagan,https://www.filmaffinity.com/es/name.php?name-id=970498708
46,,https://www.filmaffinity.com/es/film518489.html
47,Planeta azul II,https://www.filmaffinity.com/es/film518489.html
48,David Attenborough,https://www.filmaffinity.com/es/name.php?name-id=390763760
49,David Attenborough,https://www.filmaffinity.com/es/name.php?name-id=390763760
50,,https://www.filmaffinity.com/es/film695552.html
51,12 hombres sin piedad,https://www.filmaffinity.com/es/film695552.html
52,Sidney Lumet,https://www.filmaffinity.com/es/name.php?name-id=435435282
53,Henry Fonda,https://www.filmaffinity.com/es/name.php?name-id=467312909
54,Lee J. Cobb,https://www.filmaffinity.com/es/name.php?name-id=684564393
55,Jack Warden,https://www.filmaffinity.com/es/name.php?name-id=324872468
56,E.G. Marshall,https://www.filmaffinity.com/es/name.php?name-id=375020488
57,Martin Balsam,https://www.filmaffinity.com/es/name.php?name-id=749478909
58,,https://www.filmaffinity.com/es/film661074.html
59,Cosmos: A Space-Time Odyssey,https://www.filmaffinity.com/es/film661074.html
60,Ann Druyan,https://www.filmaffinity.com/es/name.php?name-id=208744758
61,Steven Soter,https://www.filmaffinity.com/es/name.php?name-id=522491990
62,Neil deGrasse Tyson,https://www.filmaffinity.com/es/name.php?name-id=332669308
63,Seth MacFarlane,https://www.filmaffinity.com/es/name.php?name-id=257254204
64,,https://www.filmaffinity.com/es/film656153.html
65,La lista de Schindler,https://www.filmaffinity.com/es/film656153.html
66,Steven Spielberg,https://www.filmaffinity.com/es/name.php?name-id=452047124
67,Liam Neeson,https://www.filmaffinity.com/es/name.php?name-id=250177862
68,Ben Kingsley,https://www.filmaffinity.com/es/name.php?name-id=868507788
69,Ralph Fiennes,https://www.filmaffinity.com/es/name.php?name-id=157702971
70,Caroline Goodall,https://www.filmaffinity.com/es/name.php?name-id=690884323
71,Jonathan Sagall,https://www.filmaffinity.com/es/name.php?name-id=389628784
72,,https://www.filmaffinity.com/es/film667376.html
73,Testigo de cargo,https://www.filmaffinity.com/es/film667376.html
74,Billy Wilder,https://www.filmaffinity.com/es/name.php?name-id=174706692
75,Tyrone Power,https://www.filmaffinity.com/es/name.php?name-id=532842662
76,Marlene Dietrich,https://www.filmaffinity.com/es/name.php?name-id=198232156
77,Charles Laughton,https://www.filmaffinity.com/es/name.php?name-id=480054885
78,Elsa Lanchester,https://www.filmaffinity.com/es/name.php?name-id=198570153
79,John Williams,https://www.filmaffinity.com/es/name.php?name-id=130220583
80,,https://www.filmaffinity.com/es/film356260.html
81,"Siete mundos, un planeta",https://www.filmaffinity.com/es/film356260.html
82,David Attenborough,https://www.filmaffinity.com/es/name.php?name-id=390763760
83,Fredi Devas,https://www.filmaffinity.com/es/name.php?name-id=701339852
84,David Attenborough,https://www.filmaffinity.com/es/name.php?name-id=390763760
85,,https://www.filmaffinity.com/es/film750301.html
86,Luces de la ciudad,https://www.filmaffinity.com/es/film750301.html
87,Charles Chaplin,https://www.filmaffinity.com/es/name.php?name-id=892209579
88,Charles Chaplin,https://www.filmaffinity.com/es/name.php?name-id=892209579
89,Virginia Cherrill,https://www.filmaffinity.com/es/name.php?name-id=625845530
90,Florence Lee,https://www.filmaffinity.com/es/name.php?name-id=276833662
91,Harry Myers,https://www.filmaffinity.com/es/name.php?name-id=639672680
92,Allan Garcia,https://www.filmaffinity.com/es/name.php?name-id=511407626
93,,https://www.filmaffinity.com/es/film161026.html
94,Cadena perpetua,https://www.filmaffinity.com/es/film161026.html
95,Frank Darabont,https://www.filmaffinity.com/es/name.php?name-id=844745018
96,Tim Robbins,https://www.filmaffinity.com/es/name.php?name-id=630001013
97,Morgan Freeman,https://www.filmaffinity.com/es/name.php?name-id=251682278
98,Bob Gunton,https://www.filmaffinity.com/es/name.php?name-id=246059344
99,James Whitmore,https://www.filmaffinity.com/es/name.php?name-id=924702432
100,Gil Bellows,https://www.filmaffinity.com/es/name.php?name-id=152568631
101,,https://www.filmaffinity.com/es/film221477.html
102,Apocalipsis: La Segunda Guerra Mundial,https://www.filmaffinity.com/es/film221477.html
103,Daniel Costelle,https://www.filmaffinity.com/es/name.php?name-id=769043280
104,Isabelle Clarke,https://www.filmaffinity.com/es/name.php?name-id=492150502
105,Mathieu Kassovitz,https://www.filmaffinity.com/es/name.php?name-id=541372234
106,,https://www.filmaffinity.com/es/film372160.html
107,Los Simpson,https://www.filmaffinity.com/es/film372160.html
108,Matt Groening,https://www.filmaffinity.com/es/name.php?name-id=460556499
109,Sam Simon,https://www.filmaffinity.com/es/name.php?name-id=721410564
110,Dan Castellaneta,https://www.filmaffinity.com/es/name.php?name-id=297171483
111,Julie Kavner,https://www.filmaffinity.com/es/name.php?name-id=867623833
112,Nancy Cartwright,https://www.filmaffinity.com/es/name.php?name-id=453419052
113,Yeardley Smith,https://www.filmaffinity.com/es/name.php?name-id=405527496
114,,https://www.filmaffinity.com/es/film155010.html
115,El gran dictador,https://www.filmaffinity.com/es/film155010.html
116,Charles Chaplin,https://www.filmaffinity.com/es/name.php?name-id=892209579
117,Charles Chaplin,https://www.filmaffinity.com/es/name.php?name-id=892209579
118,Paulette Goddard,https://www.filmaffinity.com/es/name.php?name-id=455047317
119,Jack Oakie,https://www.filmaffinity.com/es/name.php?name-id=870643559
120,Reginald Gardiner,https://www.filmaffinity.com/es/name.php?name-id=560529392
121,Henry Daniell,https://www.filmaffinity.com/es/name.php?name-id=970608558
122,,https://www.filmaffinity.com/es/film160882.html
123,Pulp Fiction,https://www.filmaffinity.com/es/film160882.html
124,Quentin Tarantino,https://www.filmaffinity.com/es/name.php?name-id=157018593
125,John Travolta,https://www.filmaffinity.com/es/name.php?name-id=429066937
126,Samuel L. Jackson,https://www.filmaffinity.com/es/name.php?name-id=702628431
127,Uma Thurman,https://www.filmaffinity.com/es/name.php?name-id=341669269
128,Bruce Willis,https://www.filmaffinity.com/es/name.php?name-id=438415021
129,Ving Rhames,https://www.filmaffinity.com/es/name.php?name-id=464785237
130,,https://www.filmaffinity.com/es/film726746.html
131,Tiempos modernos,https://www.filmaffinity.com/es/film726746.html
132,Charles Chaplin,https://www.filmaffinity.com/es/name.php?name-id=892209579
133,Charles Chaplin,https://www.filmaffinity.com/es/name.php?name-id=892209579
134,Paulette Goddard,https://www.filmaffinity.com/es/name.php?name-id=455047317
135,Henry Bergman,https://www.filmaffinity.com/es/name.php?name-id=722302517
136,Chester Conklin,https://www.filmaffinity.com/es/name.php?name-id=280600599
137,Stanley Stanford,https://www.filmaffinity.com/es/name.php?name-id=320692894
138,,https://www.filmaffinity.com/es/film934135.html
139,Planeta Tierra,https://www.filmaffinity.com/es/film934135.html
140,Alastair Fothergill,https://www.filmaffinity.com/es/name.php?name-id=288923004
141,,https://www.filmaffinity.com/es/film385464.html
142,El golpe,https://www.filmaffinity.com/es/film385464.html
143,George Roy Hill,https://www.filmaffinity.com/es/name.php?name-id=418494619
144,Robert Redford,https://www.filmaffinity.com/es/name.php?name-id=434277349
145,Paul Newman,https://www.filmaffinity.com/es/name.php?name-id=115240931
146,Robert Shaw,https://www.filmaffinity.com/es/name.php?name-id=749370546
147,Charles Durning,https://www.filmaffinity.com/es/name.php?name-id=254762877
148,Ray Walston,https://www.filmaffinity.com/es/name.php?name-id=589715669
149,,https://www.filmaffinity.com/es/film874956.html
150,Juego de Tronos,https://www.filmaffinity.com/es/film874956.html
151,David Benioff,https://www.filmaffinity.com/es/name.php?name-id=831936639
152,D.B. Weiss,https://www.filmaffinity.com/es/name.php?name-id=706112385
153,Emilia Clarke,https://www.filmaffinity.com/es/name.php?name-id=416818106
154,Kit Harington,https://www.filmaffinity.com/es/name.php?name-id=922997778
155,Lena Headey,https://www.filmaffinity.com/es/name.php?name-id=410056920
156,Peter Dinklage,https://www.filmaffinity.com/es/name.php?name-id=619646530
157,Maisie Williams,https://www.filmaffinity.com/es/name.php?name-id=984265555
158,,https://www.filmaffinity.com/es/film674611.html
159,Ingeniería Romana,https://www.filmaffinity.com/es/film674611.html
160,José Antonio Muñiz,https://www.filmaffinity.com/es/name.php?name-id=188734723
161,Javier Téllez,https://www.filmaffinity.com/es/name.php?name-id=253321555
162,,https://www.filmaffinity.com/es/film402150.html
163,Los Soprano,https://www.filmaffinity.com/es/film402150.html
164,David Chase,https://www.filmaffinity.com/es/name.php?name-id=781753595
165,Timothy Van Patten,https://www.filmaffinity.com/es/name.php?name-id=483343397
166,James Gandolfini,https://www.filmaffinity.com/es/name.php?name-id=196432533
167,Edie Falco,https://www.filmaffinity.com/es/name.php?name-id=780076381
168,Lorraine Bracco,https://www.filmaffinity.com/es/name.php?name-id=157102433
169,Michael Imperioli,https://www.filmaffinity.com/es/name.php?name-id=303464013
170,Jamie-Lynn Sigler,https://www.filmaffinity.com/es/name.php?name-id=462854589
171,,https://www.filmaffinity.com/es/film883966.html
172,The Beatles Anthology,https://www.filmaffinity.com/es/film883966.html
173,Bob Smeaton,https://www.filmaffinity.com/es/name.php?name-id=168105260
174,Geoff Wonfor,https://www.filmaffinity.com/es/name.php?name-id=304927100
175,The Beatles,https://www.filmaffinity.com/es/name.php?name-id=255964761
176,Paul McCartney,https://www.filmaffinity.com/es/name.php?name-id=931422647
177,John Lennon,https://www.filmaffinity.com/es/name.php?name-id=470406425
178,George Harrison,https://www.filmaffinity.com/es/name.php?name-id=922951977
179,Ringo Starr,https://www.filmaffinity.com/es/name.php?name-id=986286712
180,,https://www.filmaffinity.com/es/film684718.html
181,Ser o no ser,https://www.filmaffinity.com/es/film684718.html
182,Ernst Lubitsch,https://www.filmaffinity.com/es/name.php?name-id=804987680
183,Carole Lombard,https://www.filmaffinity.com/es/name.php?name-id=879606078
184,Jack Benny,https://www.filmaffinity.com/es/name.php?name-id=597542430
185,Robert Stack,https://www.filmaffinity.com/es/name.php?name-id=707109860
186,Stanley Ridges,https://www.filmaffinity.com/es/name.php?name-id=262149081
