id_operacion;id_cliente;id_producto;fecha_operacion;cantidad_producto
1;1;6;2020-03-02;1
2;1;6;2020-03-03;1
3;1;6;2020-03-04;1
4;1;6;2020-03-05;1
5;1;6;2020-03-06;1
6;1;6;2020-03-07;1
7;2;16;2020-03-02;1
8;2;16;2020-03-03;1
9;2;16;2020-03-04;1
10;2;16;2020-03-05;1
11;2;16;2020-03-07;1
12;2;38;2020-03-07;1
13;3;17;2020-03-02;1
14;3;17;2020-03-03;1
15;3;17;2020-03-04;1
16;3;17;2020-03-05;1
17;3;17;2020-03-06;1
18;3;17;2020-03-07;1
19;4;6;2020-03-02;1
20;4;6;2020-03-03;1
21;4;6;2020-03-04;1
22;4;6;2020-03-05;1
23;4;6;2020-03-06;1
24;4;6;2020-03-07;1
25;5;6;2020-03-02;1
26;5;6;2020-03-03;1
27;5;6;2020-03-04;1
28;5;6;2020-03-05;1
29;5;6;2020-03-07;1
30;6;15;2020-03-02;1
31;6;15;2020-03-03;1
32;6;15;2020-03-04;1
33;6;15;2020-03-05;1
34;6;15;2020-03-06;1
35;6;11;2020-03-07;2
36;6;27;2020-03-07;1.239
37;7;18;2020-03-02;1
38;7;18;2020-03-03;1
39;7;18;2020-03-04;1
40;7;18;2020-03-05;1
41;7;18;2020-03-06;1
42;7;18;2020-03-07;1
43;7;35;2020-03-07;0.362
44;9;18;2020-03-02;1
45;9;18;2020-03-03;1
46;9;18;2020-03-04;1
47;9;18;2020-03-05;1
48;9;18;2020-03-07;1
49;10;6;2020-03-02;1
50;10;6;2020-03-03;1
51;10;6;2020-03-04;1
52;10;6;2020-03-05;1
53;10;6;2020-03-06;1
54;10;6;2020-03-07;1
55;11;17;2020-03-02;1
56;11;17;2020-03-03;1
57;11;17;2020-03-04;1
58;11;17;2020-03-05;1
59;11;17;2020-03-06;1
60;11;17;2020-03-07;2
61;12;6;2020-03-02;1
62;12;6;2020-03-03;1
63;12;6;2020-03-04;1
64;12;6;2020-03-05;1
65;12;6;2020-03-06;1
66;12;6;2020-03-07;1
67;13;6;2020-03-02;1
68;13;6;2020-03-03;1
69;13;6;2020-03-04;1
70;13;6;2020-03-05;1
71;13;6;2020-03-06;1
72;13;6;2020-03-07;1
73;14;6;2020-03-02;1
74;14;6;2020-03-03;1
75;14;6;2020-03-04;1
76;14;6;2020-03-05;1
77;14;6;2020-03-06;1
78;14;6;2020-03-07;1
79;15;6;2020-03-02;1
80;15;6;2020-03-03;1
81;15;6;2020-03-04;1
82;15;6;2020-03-05;1
83;15;6;2020-03-06;1
84;15;6;2020-03-07;1
85;16;17;2020-03-02;1
86;16;17;2020-03-03;1
87;16;17;2020-03-04;1
88;16;17;2020-03-05;1
89;16;17;2020-03-06;1
90;16;17;2020-03-07;1
91;16;13;2020-03-07;1
92;17;8;2020-03-02;1
93;17;6;2020-03-02;1
94;17;14;2020-03-02;1
95;17;8;2020-03-03;1
96;17;6;2020-03-03;1
97;17;14;2020-03-03;2
98;17;8;2020-03-04;1
99;17;6;2020-03-04;1
100;17;14;2020-03-04;1
101;17;9;2020-03-05;2
102;17;8;2020-03-05;1
103;17;14;2020-03-05;1
104;17;9;2020-03-06;2
105;17;8;2020-03-06;1
106;17;16;2020-03-06;1
107;17;8;2020-03-07;1
108;17;6;2020-03-07;1
109;18;19;2020-03-02;1
110;18;19;2020-03-03;1
111;18;19;2020-03-04;1
112;18;19;2020-03-05;1
113;18;19;2020-03-06;1
114;19;9;2020-03-02;1
115;19;9;2020-03-04;1
116;19;8;2020-03-05;1
117;19;9;2020-03-06;1
118;19;9;2020-03-07;1
119;20;8;2020-03-02;1
120;20;8;2020-03-03;1
121;20;8;2020-03-04;1
122;20;8;2020-03-05;1
123;20;8;2020-03-06;1
124;20;8;2020-03-07;1
125;21;18;2020-03-02;1
126;21;9;2020-03-03;1
127;21;9;2020-03-04;1
128;22;8;2020-03-02;1
129;22;19;2020-03-02;1
130;22;8;2020-03-03;1
131;22;19;2020-03-03;1
132;22;8;2020-03-04;1
133;22;19;2020-03-04;1
134;22;8;2020-03-05;1
135;22;19;2020-03-05;1
136;22;8;2020-03-06;1
137;22;19;2020-03-06;1
138;22;8;2020-03-07;1
139;22;19;2020-03-07;1
140;23;7;2020-03-02;2
141;23;7;2020-03-03;1
142;23;7;2020-03-04;1
143;23;7;2020-03-05;1
144;23;7;2020-03-06;1
145;23;7;2020-03-07;2
146;24;18;2020-03-02;1
147;24;18;2020-03-03;1
148;24;18;2020-03-04;1
149;24;18;2020-03-05;1
150;24;18;2020-03-06;1
151;25;16;2020-03-02;1
152;25;16;2020-03-03;1
153;25;16;2020-03-04;1
154;25;16;2020-03-05;1
155;25;16;2020-03-06;1
156;25;16;2020-03-07;1
157;26;13;2020-03-03;1
158;26;13;2020-03-05;1
159;26;13;2020-03-07;1
160;27;11;2020-03-02;1
161;27;11;2020-03-04;1
162;27;11;2020-03-07;1
163;28;11;2020-03-02;1
164;28;11;2020-03-04;1
165;28;11;2020-03-06;1
166;29;9;2020-03-02;1
167;29;9;2020-03-03;1
168;29;9;2020-03-04;1
169;29;9;2020-03-05;1
170;29;9;2020-03-06;1
171;29;9;2020-03-07;1
172;30;6;2020-03-02;1
173;30;6;2020-03-03;1
174;30;6;2020-03-04;1
175;30;6;2020-03-05;1
176;30;6;2020-03-06;1
177;30;6;2020-03-07;1
178;31;7;2020-03-02;1
179;31;7;2020-03-03;1
180;31;7;2020-03-04;1
181;31;7;2020-03-05;1
182;31;7;2020-03-06;1
183;31;7;2020-03-07;1
184;32;7;2020-03-02;1
185;32;7;2020-03-03;1
186;32;7;2020-03-04;1
187;32;7;2020-03-05;1
188;32;7;2020-03-06;1
189;33;8;2020-03-02;2
190;33;8;2020-03-03;2
191;33;8;2020-03-04;2
192;33;8;2020-03-05;2
193;33;8;2020-03-06;2
194;33;8;2020-03-07;2
195;34;7;2020-03-02;1
196;34;7;2020-03-03;1
197;34;7;2020-03-04;1
198;34;7;2020-03-05;1
199;34;7;2020-03-06;1
200;34;7;2020-03-07;1
201;35;7;2020-03-02;1
202;35;16;2020-03-02;1
203;35;7;2020-03-03;1
204;35;16;2020-03-03;1
205;35;7;2020-03-04;1
206;35;16;2020-03-04;1
207;35;7;2020-03-05;1
208;35;16;2020-03-05;1
209;35;7;2020-03-06;1
210;35;16;2020-03-06;1
211;36;6;2020-03-02;1
212;36;6;2020-03-03;1
213;36;6;2020-03-04;1
214;36;6;2020-03-05;1
215;36;6;2020-03-06;1
216;37;8;2020-03-02;1
217;37;8;2020-03-03;1
218;37;8;2020-03-04;1
219;37;8;2020-03-05;1
220;37;8;2020-03-06;1
221;38;11;2020-03-03;1
222;38;11;2020-03-04;1
223;38;11;2020-03-06;1
224;38;2;2020-03-07;1
225;39;9;2020-03-02;1
226;39;9;2020-03-03;1
227;39;9;2020-03-04;1
228;39;9;2020-03-05;1
229;39;9;2020-03-06;1
230;39;9;2020-03-07;1
231;40;20;2020-03-03;1
232;40;20;2020-03-05;1
233;40;20;2020-03-06;1
234;41;8;2020-03-02;1
235;41;13;2020-03-03;1
236;41;9;2020-03-04;1
237;41;13;2020-03-05;1
238;41;9;2020-03-06;1
239;42;6;2020-03-02;1
240;42;6;2020-03-03;1
241;42;6;2020-03-04;1
242;42;6;2020-03-05;1
243;42;6;2020-03-06;1
244;42;6;2020-03-07;1
245;43;7;2020-03-02;1
246;43;7;2020-03-03;1
247;43;7;2020-03-04;1
248;43;7;2020-03-05;1
249;43;7;2020-03-06;1
250;43;7;2020-03-07;1
251;44;9;2020-03-02;1
