id_producto;nombre_producto;precio_unidad
1;"Torta de Aceite                                   ";2.10
2;"Gran Reserva                                      ";1.85
3;"Mediana                                           ";1.85
4;"Pan                                               ";1.80
5;"Barrita Nueces y Pasas                            ";1.25
6;"Puntos                                            ";1.00
7;"Colon                                             ";1.00
8;"Pueblo                                            ";1.00
9;"Rustica                                           ";1.00
10;"Chapata                                           ";1.00
11;"Modroño                                           ";1.00
12;"Integral                                          ";1.00
13;"Culebra                                           ";0.65
14;"Rosca                                             ";0.65
15;"Modroño Pequeño                                   ";0.60
16;"Baguetina                                         ";0.60
17;"Puntos Pequeña                                    ";0.60
18;"Pueblo Pequeña                                    ";0.60
19;"Integral Pequeña                                  ";0.60
20;"Colon Pequeño                                     ";0.60
21;"Sin Sal                                           ";0.60
22;"Molde                                             ";2.85
23;"Centeno                                           ";4.20
24;"Semillas                                          ";4.20
25;"Espelta                                           ";4.90
26;"Rulo                                              ";16.00
27;"Trenza                                            ";14.00
28;"Empanada                                          ";13.00
29;"Hornazo                                           ";13.00
30;"Palmera Chocolate                                 ";1.50
31;"Palmera Choco-Nata                                ";1.70
32;"Palmeras de Cereales                              ";12.00
33;"Croissant                                         ";1.00
34;"Cestita                                           ";1.80
35;"Magdalenas                                        ";5.80
36;"Bizcocho1                                         ";5.60
37;"Bizcocho2                                         ";6.50
38;"Huevos                                            ";2.10
39;"Base de Pizza                                     ";1.20
40;"Modroño Integral                                  ";1.00
41;"Baguetina Integral                                ";0.60
42;"Mantecados                                        ";10.00
