Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Non_Healthy_Fat,Unhealthy_BMI,Unhealthy_Fat
39,Female,42.5,1.75,181,131,52,1.13,740.0,Strength,26.2,2.1,2,1,13.88,False,False,False
19,Female,64.0,1.53,166,167,58,1.33,1111.0,HIIT,29.8,2.3,3,2,27.34,False,True,False
55,Female,75.2,1.67,188,167,51,1.37,1030.0,HIIT,25.2,2.2,2,1,26.96,False,True,False
39,Female,64.3,1.69,190,148,58,1.25,925.0,HIIT,26.9,1.9,4,2,22.51,False,False,False
42,Female,63.7,1.71,173,169,62,1.42,1080.0,Yoga,26.1,1.8,3,2,21.78,False,False,False
20,Female,65.4,1.52,185,127,50,1.03,654.0,Yoga,28.0,2.2,4,2,28.31,False,True,False
54,Female,50.2,1.61,188,157,67,1.48,1046.0,HIIT,28.2,2.7,2,1,19.37,False,False,False
31,Female,48.8,1.51,195,131,60,1.48,969.0,Cardio,28.2,2.0,2,1,21.4,False,False,False
31,Female,79.7,1.54,184,144,59,1.03,742.0,Cardio,26.7,2.3,4,2,33.61,False,True,False
19,Female,73.0,1.79,177,125,61,0.81,506.0,HIIT,27.7,1.6,3,1,22.78,False,False,False
43,Female,58.2,1.61,179,124,54,1.04,580.0,Strength,26.4,2.6,3,2,22.45,False,False,False
25,Female,65.4,1.77,160,141,58,0.89,627.0,Cardio,27.6,2.6,3,1,20.88,False,False,False
42,Female,53.7,1.72,183,142,74,1.37,875.0,Cardio,29.8,1.6,3,1,18.15,False,False,False
58,Female,66.1,1.75,169,128,57,0.63,363.0,Cardio,25.2,1.8,2,1,21.58,False,False,False
18,Female,52.3,1.74,187,165,58,1.2,990.0,Cardio,29.4,2.2,2,1,17.27,False,False,False
26,Female,76.7,1.63,199,139,72,1.08,751.0,Strength,25.6,1.7,2,1,28.87,False,True,False
34,Female,75.6,1.6,193,130,51,0.64,416.0,HIIT,29.1,2.7,2,1,29.53,False,True,False
59,Female,54.6,1.57,164,169,64,0.58,441.0,Cardio,29.2,2.3,3,1,22.15,False,False,False
25,Female,41.2,1.62,193,144,64,1.49,1073.0,Yoga,28.9,2.1,4,2,15.7,False,False,False
52,Female,79.4,1.59,166,163,59,1.39,1020.0,Strength,26.6,1.5,3,2,31.41,False,True,False
39,Female,55.4,1.6,192,136,72,1.44,979.0,HIIT,26.3,1.6,3,2,21.64,False,False,False
31,Female,42.3,1.6,163,163,70,1.09,888.0,Cardio,25.1,1.9,3,2,16.52,False,False,False
22,Female,63.2,1.54,191,155,53,1.02,790.0,Cardio,29.5,2.4,4,2,26.65,False,True,False
32,Female,70.5,1.62,177,122,58,1.24,756.0,Strength,28.4,1.8,2,1,26.86,False,True,False
30,Female,79.2,1.62,181,166,66,1.26,1046.0,Cardio,28.0,2.5,4,2,30.18,False,True,False
24,Female,62.9,1.79,180,135,59,1.42,958.0,Cardio,27.3,2.3,4,2,19.63,False,False,False
28,Female,52.0,1.61,168,164,70,1.32,1082.0,Yoga,27.9,2.0,3,2,20.06,False,False,False
56,Female,40.4,1.8,196,165,72,1.23,913.0,Cardio,30.0,2.1,4,2,12.47,False,False,False
44,Female,69.5,1.75,192,155,69,1.02,711.0,HIIT,27.6,2.1,3,1,22.69,False,False,False
26,Female,54.0,1.53,175,148,54,1.14,844.0,Strength,26.9,1.7,3,1,23.07,False,False,False
54,Female,72.3,1.78,163,149,72,1.27,852.0,Cardio,27.7,1.8,2,1,22.82,False,False,False
49,Female,42.0,1.52,171,130,70,1.1,644.0,HIIT,28.8,2.2,3,1,18.18,False,False,False
56,Female,52.9,1.64,169,155,53,1.1,767.0,Cardio,27.4,2.3,3,2,19.67,False,False,False
19,Female,49.0,1.69,176,147,64,1.05,772.0,Yoga,29.2,2.4,3,1,17.16,False,False,False
23,Female,41.9,1.58,163,132,67,0.56,370.0,HIIT,26.8,1.8,3,1,16.78,False,False,False
49,Female,68.3,1.52,177,150,60,1.45,979.0,Strength,29.4,1.8,4,2,29.56,False,True,False
33,Female,65.3,1.71,172,135,74,1.18,796.0,HIIT,29.7,2.5,4,2,22.33,False,False,False
33,Female,78.0,1.71,187,136,58,1.08,734.0,Cardio,26.3,2.1,3,1,26.67,False,True,False
36,Female,57.3,1.64,164,157,70,1.13,887.0,Strength,25.3,1.8,4,2,21.3,False,False,False
37,Female,72.9,1.76,192,121,52,1.21,732.0,Strength,27.5,1.9,3,2,23.53,False,False,False
57,Female,68.5,1.56,168,138,68,1.45,900.0,HIIT,29.1,1.6,4,2,28.15,False,True,False
42,Female,50.7,1.75,163,162,51,1.29,940.0,Strength,29.0,1.9,3,2,16.56,False,False,False
26,Female,70.9,1.66,184,125,68,0.81,506.0,HIIT,28.9,1.7,3,1,25.73,False,True,False
37,Female,71.2,1.64,162,120,73,1.11,666.0,HIIT,29.9,1.7,3,2,26.47,False,True,False
55,Female,79.7,1.66,195,160,68,1.06,763.0,Cardio,27.8,1.9,2,1,28.92,False,True,False
52,Female,47.8,1.54,198,146,63,1.34,880.0,Cardio,29.8,1.9,3,2,20.16,False,False,False
42,Female,72.4,1.69,177,148,61,1.07,713.0,Yoga,29.0,2.3,3,2,25.35,False,True,False
35,Female,50.4,1.6,195,156,59,1.03,803.0,Cardio,29.1,1.9,4,2,19.69,False,False,False
33,Female,45.9,1.5,189,144,62,0.92,662.0,Yoga,29.8,1.7,3,1,20.4,False,False,False
58,Female,65.2,1.63,167,121,53,1.12,610.0,HIIT,25.4,2.0,3,2,24.54,False,False,False
25,Female,57.8,1.56,170,156,66,1.35,1053.0,Yoga,29.3,1.6,3,2,23.75,False,False,False
44,Female,77.7,1.79,198,165,53,1.41,1047.0,HIIT,28.1,2.2,3,1,24.25,False,False,False
51,Female,70.3,1.55,178,139,54,1.4,876.0,Yoga,26.1,1.6,3,1,29.26,False,True,False
47,Female,49.9,1.69,178,147,64,1.48,979.0,HIIT,26.0,1.7,3,2,17.47,False,False,False
34,Female,69.2,1.53,167,134,59,1.36,911.0,HIIT,28.5,2.1,2,1,29.56,False,True,False
49,Female,44.1,1.65,189,133,74,1.16,694.0,HIIT,26.7,1.8,4,2,16.2,False,False,False
20,Female,75.8,1.78,197,133,53,1.42,944.0,HIIT,27.4,2.0,4,2,23.92,False,False,False
19,Female,48.3,1.52,186,136,56,0.96,653.0,Strength,26.3,1.6,2,1,20.91,False,False,False
44,Female,42.8,1.78,167,159,64,1.49,1066.0,Strength,25.3,2.6,3,2,13.51,False,False,False
57,Female,46.1,1.76,165,130,60,1.44,842.0,Strength,25.8,1.7,3,2,14.88,False,False,False
56,Female,45.1,1.73,165,129,73,0.83,482.0,Strength,25.4,2.6,3,1,15.07,False,False,False
42,Female,49.2,1.5,173,131,63,1.15,678.0,HIIT,27.7,1.5,3,2,21.87,False,False,False
53,Female,56.9,1.59,199,164,65,1.49,1100.0,HIIT,29.5,2.0,3,2,22.51,False,False,False
37,Female,53.0,1.71,184,156,50,1.13,881.0,Yoga,28.1,1.7,4,2,18.13,False,False,False
18,Female,72.7,1.55,172,125,56,0.84,525.0,Cardio,29.8,2.0,3,1,30.26,False,True,False
39,Female,60.6,1.65,162,167,63,0.92,768.0,HIIT,27.6,1.7,3,1,22.26,False,False,False
54,Female,47.8,1.6,171,155,55,1.19,830.0,Cardio,26.0,2.3,4,2,18.67,False,False,False
25,Female,74.3,1.71,162,157,64,1.43,1123.0,Yoga,25.6,1.6,3,2,25.41,False,True,False
23,Female,71.4,1.72,164,169,74,1.25,1056.0,Strength,25.6,1.5,2,1,24.13,False,False,False
33,Female,68.2,1.75,177,150,71,0.85,638.0,Strength,29.0,1.7,2,1,22.27,False,False,False
47,Female,68.7,1.76,161,137,66,1.37,845.0,Strength,27.7,2.4,3,2,22.18,False,False,False
54,Female,66.9,1.74,195,129,62,1.24,720.0,HIIT,29.5,2.1,2,1,22.1,False,False,False
49,Female,69.3,1.62,191,122,62,1.14,626.0,HIIT,28.8,1.9,4,2,26.41,False,True,False
20,Female,51.1,1.58,188,169,64,0.5,422.0,Yoga,29.6,1.6,2,1,20.47,False,False,False
46,Female,56.9,1.6,185,143,65,0.88,566.0,Cardio,27.7,1.6,3,1,22.23,False,False,False
22,Female,50.7,1.59,197,139,66,1.27,883.0,Strength,29.4,1.8,3,2,20.05,False,False,False
38,Female,40.6,1.79,195,161,55,0.62,499.0,Cardio,26.8,2.7,2,1,12.67,False,False,False
