Date,Weight_kg,BMI,Fat_Percentage,Muscle_mass_kg,Bone_mass_kg,Body_water_Percentage
2024-11-06,77.1,26.1,15.6,30.1,4.8,61.6
2024-11-05,77.1,26.0,16.4,30.1,4.7,61.1
2024-11-04,77.5,26.2,16.4,30.2,4.7,61.0
2024-11-03,77.4,26.2,15.8,30.2,4.8,61.4
2024-11-02,76.5,25.8,15.9,30.0,4.7,61.4
2024-11-01,76.0,25.7,15.7,29.9,4.7,61.5
2024-10-30,76.2,25.8,15.7,29.9,4.7,61.5
2024-10-29,75.6,25.6,15.4,29.8,4.7,61.7
2024-10-28,75.4,25.5,14.7,29.7,4.7,62.3
2024-10-27,76.1,25.7,15.4,29.9,4.7,61.8
2024-10-26,76.2,25.7,15.5,29.9,4.7,61.7
2024-10-25,75.7,25.6,15.0,29.8,4.7,62.1
2024-10-24,75.5,25.5,14.6,29.7,4.7,62.3
2024-10-23,75.5,25.5,15.7,29.7,4.6,61.6
2024-10-22,75.2,25.4,14.8,29.7,4.7,62.2
2024-10-21,73.3,24.8,15.1,29.2,4.5,62.0
2024-10-20,73.3,24.8,14.8,29.2,4.5,62.2
2024-10-19,75.1,25.4,14.8,29.6,4.7,62.2
2024-10-18,74.9,25.3,15.4,29.6,4.6,61.7
2024-10-17,75.5,25.5,14.3,29.7,4.7,62.6
2024-10-16,75.4,25.5,14.4,29.7,4.7,62.5
2024-10-15,74.6,25.2,13.9,29.5,4.7,62.9
2024-10-14,75.2,25.4,14.0,29.7,4.7,62.8
2024-10-13,75.1,25.4,15.2,29.6,4.6,61.9
2024-10-12,75.4,25.5,15.3,29.7,4.7,61.9
2024-10-11,74.5,25.2,15.5,29.5,4.6,61.7
2024-10-10,75.2,25.4,15.4,29.6,4.6,61.8
2024-10-09,74.6,25.2,14.8,29.5,4.6,62.2
2024-10-08,74.0,25.0,15.2,29.4,4.5,61.9
2024-10-07,74.2,25.1,14.5,29.4,4.6,62.4
2024-10-06,75.4,25.5,15.3,29.7,4.7,61.8
2024-10-05,75.2,25.4,15.1,29.6,4.6,62.0
2024-10-04,74.2,25.1,15.0,29.4,4.6,62.1
2024-10-03,75.5,25.5,14.6,29.7,4.7,62.3
2024-10-02,75.2,25.4,14.4,29.6,4.7,62.5
2024-10-01,76.3,25.8,15.1,29.9,4.7,62.0
2024-09-30,75.1,25.4,14.8,29.6,4.7,62.2
2024-09-29,76.5,25.9,14.8,30.0,4.8,62.2
2024-09-28,76.1,25.7,15.0,29.9,4.7,62.1
2024-09-27,76.5,25.8,15.2,30.0,4.8,61.9
2024-09-26,75.0,25.4,14.3,29.6,4.7,62.5
2024-09-25,75.1,25.4,15.3,29.6,4.6,61.8
2024-09-23,75.7,25.6,15.5,29.8,4.7,61.7
2024-09-22,74.7,25.3,14.5,29.5,4.7,62.4
2024-09-21,74.4,25.2,15.5,29.5,4.5,61.7
2024-09-20,74.6,25.2,15.3,29.5,4.6,61.8
2024-09-19,75.4,25.5,15.7,29.7,4.6,61.5
2024-09-18,75.5,25.5,15.8,29.7,4.6,61.5
2024-09-17,75.3,25.4,15.4,29.7,4.6,61.8
2024-09-16,74.5,25.2,15.9,29.5,4.5,61.4
2024-09-15,75.9,25.6,16.4,29.8,4.6,61.0
2024-09-14,75.1,25.4,15.2,29.6,4.6,61.9
2024-09-13,76.0,25.7,15.6,29.9,4.7,61.6
2024-09-12,75.2,25.4,14.8,29.7,4.7,62.2
2024-09-11,74.3,25.1,15.3,29.5,4.6,61.8
2024-09-10,74.2,25.1,15.0,29.4,4.6,62.1
2024-09-09,75.0,25.4,16.2,29.6,4.5,61.2
2024-09-08,74.8,25.3,15.6,29.6,4.6,61.6
2024-09-07,74.1,25.1,15.0,29.4,4.6,62.0
2024-09-06,73.1,24.7,15.0,29.1,4.5,62.0
2024-09-05,73.7,24.9,15.2,29.3,4.5,61.9
2024-09-04,73.9,25.0,15.1,29.3,4.5,62.0
2024-09-03,74.4,25.2,15.2,29.5,4.6,61.9
2024-09-02,73.5,24.9,15.5,29.3,4.5,61.7
2024-09-01,75.8,25.6,15.2,29.8,4.7,61.9
2024-07-31,76.2,25.7,16.0,29.9,4.7,61.3
2024-07-30,76.7,25.9,15.9,30.0,4.7,61.4
2024-07-29,76.0,25.7,16.9,29.9,4.6,60.7
2024-07-28,77.6,26.2,16.3,30.3,4.8,61.1
2024-07-27,76.9,26.0,16.7,30.1,4.7,60.8
2024-07-26,77.3,26.1,16.4,30.2,4.7,61.0
2024-07-25,78.6,26.6,16.1,30.5,4.9,61.3
2024-07-23,76.8,26.0,16.3,30.1,4.7,61.1
2024-07-22,78.5,26.5,17.2,30.5,4.8,60.4
2024-07-21,77.6,26.2,17.1,30.3,4.7,60.5
2024-07-20,77.2,26.1,16.8,30.1,4.7,60.8
2024-07-19,77.5,26.2,16.8,30.2,4.7,60.8
2024-07-18,76.9,26.0,16.6,30.1,4.7,60.9
2024-07-17,76.4,25.8,16.7,30.0,4.6,60.8
2024-07-16,76.3,25.8,16.7,29.9,4.6,60.8
2024-07-15,77.2,26.1,16.8,30.1,4.7,60.7
2024-07-14,76.4,25.8,16.3,30.0,4.7,61.1
2024-07-13,76.1,25.7,16.6,29.9,4.6,60.9
2024-07-12,76.6,25.9,16.6,30.0,4.7,60.9
2024-07-11,76.9,26.0,16.3,30.1,4.7,61.1
2024-07-10,77.0,26.0,16.7,30.1,4.7,60.8
2024-07-09,78.0,26.4,17.0,30.4,4.7,60.6
2024-07-08,78.6,26.6,16.9,30.5,4.8,60.7
2024-07-07,78.0,26.4,16.9,30.4,4.7,60.6
2024-07-06,77.0,26.0,16.7,30.1,4.7,60.8
2024-07-05,76.9,26.0,16.6,30.1,4.7,60.8
2024-07-04,77.6,26.2,16.6,30.2,4.7,60.9
2024-07-03,77.9,26.3,17.3,30.3,4.7,60.4
2024-07-02,77.8,26.3,17.3,30.3,4.7,60.4
2024-07-01,78.7,26.6,17.7,30.5,4.7,60.1
2024-06-30,79.7,26.9,17.6,30.8,4.8,60.1
2024-06-29,78.9,26.7,17.4,30.6,4.8,60.3
2024-06-28,79.8,27.0,17.2,30.8,4.9,60.4
2024-06-27,78.4,26.5,17.5,30.5,4.7,60.3
2024-06-26,78.2,26.4,17.4,30.4,4.7,60.3
2024-06-25,78.2,26.4,17.2,30.4,4.7,60.4
2024-06-24,77.8,26.3,17.2,30.3,4.7,60.5
2024-06-23,77.7,26.3,15.5,31.6,4.8,61.7
2024-06-22,77.2,26.1,15.6,31.4,4.8,61.6
2024-06-21,77.4,26.2,15.0,31.5,4.8,62.1
2024-06-20,77.9,26.3,16.1,40.0,4.8,61.3
2024-06-19,77.5,26.2,16.2,39.9,4.8,61.2
2024-06-18,78.5,26.5,18.7,35.5,4.6,59.4
2024-06-17,77.2,26.1,19.3,35.2,4.5,58.9
2024-06-16,78.0,26.4,19.3,35.3,4.6,58.9
2024-06-15,78.8,26.6,18.2,35.5,4.7,59.7
2024-06-14,77.8,26.3,18.8,35.3,4.6,59.3
2024-06-13,78.0,26.4,19.0,35.3,4.6,59.2
2024-06-12,77.6,26.2,18.7,35.3,4.6,59.3
2024-06-11,77.2,26.1,18.3,35.2,4.6,59.6
2024-06-10,78.6,26.6,18.7,35.5,4.7,59.3
2024-06-09,78.0,26.4,17.4,35.3,4.7,60.3
2024-06-08,78.2,26.4,18.0,35.4,4.7,59.8
2024-06-07,78.6,26.6,18.5,35.5,4.7,59.5
2024-06-06,77.3,26.1,19.2,35.2,4.5,59.0
2024-06-05,78.3,26.5,18.4,35.4,4.7,59.6
2024-06-04,79.1,26.7,19.1,35.6,4.7,59.1
2024-06-03,78.0,26.4,19.0,35.3,4.6,59.1
2024-06-02,78.9,26.7,19.5,35.6,4.6,58.8
2024-06-01,79.0,26.7,19.1,35.6,4.7,59.1
2024-05-31,79.0,26.7,19.4,35.6,4.6,58.8
2024-05-30,78.5,26.5,19.5,35.5,4.6,58.7
2024-05-29,77.8,26.3,19.2,35.3,4.5,59.0
2024-05-28,78.4,26.5,19.1,35.4,4.6,59.0
2024-05-27,78.4,26.5,19.1,35.5,4.6,59.0
