Age,Gender,Weight (kg),Height (m),BMI,BMI_Status,Fat_Percentage,Fat_Status,Workout_Frequency (days/week),Interpretation
56,Male,88.3,1.71,30.2,Obesity,12.6,Healthy,4,High muscle mass
46,Female,74.9,1.53,32.0,Obesity,33.9,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
32,Female,68.1,1.66,24.71,Normal weight,33.4,High Fat (Consider reducing fat),4,Consider reducing fat and gain muscle mass
25,Male,53.2,1.7,18.41,Underweight,28.8,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
38,Male,46.1,1.79,14.39,Underweight,29.2,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
56,Female,58.0,1.68,20.55,Normal weight,15.5,Low Fat (Consider increasing fat),5,Lean Body
36,Male,70.3,1.72,23.76,Normal weight,21.3,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
40,Female,69.7,1.51,30.57,Obesity,30.6,Healthy,3,High muscle mass
28,Male,121.7,1.94,32.34,Obesity,28.9,High Fat (Consider reducing fat),4,"High health risk, increase activity level"
28,Male,101.8,1.84,30.07,Obesity,29.7,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
41,Male,120.8,1.67,43.31,Obesity,20.5,Healthy,2,High muscle mass
53,Male,51.7,1.7,17.89,Underweight,23.6,High Fat (Consider reducing fat),3,Gain muscle mass and reduce body fat
57,Male,112.5,1.61,43.4,Obesity,22.1,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
41,Male,94.5,2.0,23.62,Normal weight,27.6,High Fat (Consider reducing fat),3,Consider reducing fat and gain muscle mass
20,Male,117.7,1.81,35.93,Obesity,26.4,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
39,Female,42.5,1.75,13.88,Underweight,26.2,Healthy,2,Gain muscle mass
19,Female,64.0,1.53,27.34,Overweight,29.8,Healthy,3,High muscle mass
41,Female,43.8,1.77,13.98,Underweight,31.9,Healthy,3,Gain muscle mass
47,Female,66.8,1.75,21.81,Normal weight,32.8,Healthy,3,Healthy body composition
55,Female,75.2,1.67,26.96,Overweight,25.2,Healthy,2,High muscle mass
19,Male,89.0,1.77,28.41,Overweight,28.9,High Fat (Consider reducing fat),4,Consider increasing workout frequency to reduce fat
38,Male,71.9,1.77,22.95,Normal weight,25.7,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
50,Female,71.0,1.68,25.16,Overweight,33.1,High Fat (Consider reducing fat),2,Consider increasing workout frequency to reduce fat
29,Male,120.9,1.78,38.16,Obesity,28.1,High Fat (Consider reducing fat),2,"High health risk, increase activity level"
39,Female,64.3,1.69,22.51,Normal weight,26.9,Healthy,4,Healthy body composition
42,Female,63.7,1.71,21.78,Normal weight,26.1,Healthy,3,Healthy body composition
44,Male,65.2,1.8,20.12,Normal weight,27.2,High Fat (Consider reducing fat),2,Consider reducing fat and gain muscle mass
59,Male,53.9,1.75,17.6,Underweight,21.6,High Fat (Consider reducing fat),4,Gain muscle mass and reduce body fat
45,Male,84.9,1.86,24.54,Normal weight,14.2,Healthy,5,Healthy body composition
33,Female,78.0,1.68,27.64,Overweight,32.3,High Fat (Consider reducing fat),3,Consider increasing workout frequency to reduce fat
32,Male,108.2,1.8,33.4,Obesity,28.4,High Fat (Consider reducing fat),3,"High health risk, increase activity level"
20,Female,65.4,1.52,28.31,Overweight,28.0,Healthy,4,High muscle mass
54,Female,50.2,1.61,19.37,Normal weight,28.2,Healthy,2,Healthy body composition
