id,clip_count
39840,38
39681,75
37094,20
41294,18
30821,66
31644,0
37220,73
42122,50
32632,30
30108,17
40331,12
30368,17
38797,50
30417,42
32421,15
30730,68
36875,49
39994,28
38605,8
33560,33
36038,2
39841,2
36209,69
32389,43
35563,7
33434,58
40499,6
38441,31
36750,50
44762,53
30511,38
30701,8
34027,33
41137,63
32629,64
33681,24
31278,11
35229,3
32031,18
36226,1
30040,8
31892,8
37214,64
34787,31
33423,0
37733,17
39754,15
39585,58
32981,27
39631,60
43064,33
31304,31
41515,51
37712,4
37473,13
30347,9
37378,74
38778,0
40689,60
30475,6
34401,69
38951,46
36067,26
40609,42
39799,67
30323,73
44196,25
40507,8
37878,13
42185,4
32755,33
39743,48
41505,0
42598,38
43381,43
30972,53
33077,74
36701,18
42274,22
42836,2
42548,40
38629,41
35169,19
36795,27
31202,67
32728,10
36105,70
38272,58
40255,4
30037,71
36033,47
34752,57
36743,37
36619,56
36936,28
35787,22
41306,21
37896,41
34601,39
43512,18
33818,26
33091,13
42234,66
31289,56
33032,45
39368,73
32978,69
32401,30
39464,2
44510,46
35665,45
34253,16
31747,58
37509,62
37511,69
39924,43
41883,39
41928,17
36596,24
39792,39
39892,33
41910,75
36434,40
32508,35
44119,1
44433,48
40828,38
30211,16
43163,45
31951,24
44631,38
30652,0
32207,4
38597,59
32616,49
31397,1
42586,15
35426,40
44919,41
31671,47
32321,23
43663,2
36963,58
31953,6
37633,42
34644,52
32938,19
40859,19
40646,65
33910,29
41488,8
43592,3
30485,1
41130,51
30899,8
31733,55
41993,54
32614,45
37925,9
37989,28
43355,29
40759,28
37763,62
32641,28
31251,17
42928,0
39294,32
32436,67
42596,60
40167,51
44916,17
43358,20
39054,68
37604,16
35712,68
32304,70
35771,5
42476,16
36593,35
30583,50
34689,47
44393,46
30719,20
44779,54
40380,67
30763,17
33470,24
31871,17
42576,68
37290,73
33734,70
39847,17
30739,73
41458,10
33890,74
34636,65
37927,69
38193,71
36396,3
35071,75
44911,28
43099,28
33845,70
34843,61
30751,9
37188,34
37932,74
44867,36
42306,34
31840,48
44799,14
33478,66
31276,17
33722,15
40116,48
37600,65
39034,56
43344,48
41519,3
35504,12
36175,42
32265,2
38420,2
31537,10
35392,22
39158,45
34926,39
31370,44
30741,10
33814,9
34239,59
31189,28
43453,24
36051,40
31571,3
39423,73
36076,12
32528,14
32128,12
40075,71
32765,32
40410,65
42332,0
36376,8
42173,72
36021,51
40036,49
31982,62
40257,26
37076,38
40616,22
37947,16
34105,49
32058,50
42967,2
39223,12
42856,44
35360,56
41698,59
44744,29
35779,72
43380,59
36486,63
33943,22
39271,71
33718,37
35047,63
31711,57
43119,25
43820,18
35961,46
30563,2
43769,34
34232,55
30641,37
31670,9
33001,30
37310,61
43397,74
37810,67
32408,37
42568,15
37507,10
37800,14
34227,63
39827,50
38447,69
32911,69
43879,14
44368,27
42105,52
40187,8
40731,50
35126,9
32929,35
33167,66
44444,16
33379,25
30181,28
36224,34
42516,25
34555,26
32219,2
42669,59
31956,43
31058,24
35968,57
36384,71
40540,68
43174,40
31400,46
43745,74
35573,17
40523,19
34126,4
39427,48
41061,29
32235,54
42042,42
37143,39
43364,4
31211,12
42868,73
40438,24
32239,74
36278,40
40743,74
32949,31
41768,5
38389,40
40164,32
34157,67
37663,34
42287,2
33578,65
34411,74
