,referencia_catastral,codigo_ine,nombre_municipio,codigo_provincia,zona_climatica,uso_principal,altura_maxima,altura_maxima_categoria,tipologia_edificio,ano_construccion,ano_construccion_categoria,superficie_vivienda,numero_viviendas,numero_viviendas_categoria,cluster,demanda_calefaccion,demanda_calefaccion_post_interverncion,calificacion_demanda_calefaccion,calificacion_demanda_calefaccion_post_intervencion,coste_intervencion_m2,coste_intervencion_viv
0,4802010101001,48020,Bilbao,48,C1,Común,,,,,,,0,,,,,,,,
1,4802081399166,48020,Bilbao,48,C1,Aparcamiento,,,,,,,0,,,,,,,,
2,4802081399168,48020,Bilbao,48,C1,Almacenaje,,,,,,,0,,,,,,,,
3,4802081399167,48020,Bilbao,48,C1,Almacenaje,,,,,,,0,,,,,,,,
4,4802081399169,48020,Bilbao,48,C1,Almacenaje,,,,,,,0,,,,,,,,
5,4802020116001,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
6,4802081399170,48020,Bilbao,48,C1,Almacenaje,,,,,,,0,,,,,,,,
7,4802012431001,48020,Bilbao,48,C1,Residencial,3.0,De PB+3 o mes,Plurifamiliar >= 3 plantas,1900.0,Hasta 1900,1038.0,17,De 10 a 19 viviendas,Bb < 1900,74.03,24.01,E,C,72.64,4436.08
8,4802012408001,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
9,4802012408002,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
10,4802012431002,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
11,4802012432001,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
12,4802012433001,48020,Bilbao,48,C1,Común,,,,,,,0,,,,,,,,
13,4802012434001,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
14,4802012435001,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
15,4802012435002,48020,Bilbao,48,C1,Residencial,4.0,De PB+3 o mes,Plurifamiliar >= 3 plantas,1920.0,De 1901 a 1940,543.0,5,De 5 a 9 viviendas,Bb 01-40,74.03,24.47,E,C,72.64,7889.72
16,4802012435004,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
17,4802012436001,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
18,4802012436002,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
19,4802012437001,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
20,4802012437002,48020,Bilbao,48,C1,OtrosNoCal,,,,,,,0,,,,,,,,
