Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Label,asimetria_de_trafico
3,2,0,4000000.0,666666.6667,BENIGN,1.0
109,1,1,110091.7431,18348.62385,BENIGN,0.0
52,1,1,230769.2308,38461.53846,BENIGN,0.0
34,1,1,352941.1765,58823.52941,BENIGN,0.0
3,2,0,4000000.0,666666.6667,BENIGN,1.0
1022,2,0,11741.68297,1956.947162,BENIGN,1.0
4,2,0,3000000.0,500000.0,BENIGN,1.0
42,1,1,285714.2857,47619.04762,BENIGN,0.0
4,2,0,3000000.0,500000.0,BENIGN,1.0
4,2,0,9250000.0,500000.0,BENIGN,1.0
3,2,0,12300000.0,666666.6667,BENIGN,1.0
1,2,0,37000000.0,2000000.0,BENIGN,1.0
4,2,0,9250000.0,500000.0,BENIGN,1.0
3,3,0,14300000.0,1000000.0,BENIGN,1.0
54,1,1,0.0,37037.03704,BENIGN,0.0
1,2,0,0.0,2000000.0,BENIGN,1.0
154,1,1,0.0,12987.01299,BENIGN,0.0
1,2,0,0.0,2000000.0,BENIGN,1.0
118,1,1,0.0,16949.15254,BENIGN,0.0
239,1,1,0.0,8368.200837,BENIGN,0.0
1,3,0,0.0,3000000.0,BENIGN,1.0
1,2,0,0.0,2000000.0,BENIGN,1.0
4,2,0,62000000.0,500000.0,BENIGN,1.0
5,3,0,50800000.0,600000.0,BENIGN,1.0
4,2,0,3000000.0,500000.0,BENIGN,1.0
4,3,0,10800000.0,750000.0,BENIGN,1.0
54,1,1,0.0,37037.03704,BENIGN,0.0
42,3,0,1023809.524,71428.57143,BENIGN,1.0
4,2,0,9250000.0,500000.0,BENIGN,1.0
3,2,0,12300000.0,666666.6667,BENIGN,1.0
3,2,0,12300000.0,666666.6667,BENIGN,1.0
737,2,1,58344.64043,4070.556309,BENIGN,0.3333333333333333
3,2,0,12300000.0,666666.6667,BENIGN,1.0
3,2,0,12300000.0,666666.6667,BENIGN,1.0
3,2,0,12300000.0,666666.6667,BENIGN,1.0
276,3,0,155797.1014,10869.56522,BENIGN,1.0
